description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Nantes;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Reims;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Montpellier;Zone C;2019-2020
Vacances de la Toussaint;-;2019-10-25T00:00:00+02:00;2019-11-06T00:00:00+01:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances d'Été;Élèves;2019-12-14T00:00:00+01:00;2020-02-10T00:00:00+01:00;Wallis et Futuna;Wallis et Futuna;2019
Vacances de Noël;-;2019-12-20T00:00:00+01:00;2020-01-06T00:00:00+01:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Besançon;Zone A;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Grenoble;Zone A;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Poitiers;Zone A;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Amiens;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Nice;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Orléans-Tours;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Rennes;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Strasbourg;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Guyane;Guyane;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Martinique;Martinique;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Reims;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-22T00:00:00+01:00;2020-03-09T00:00:00+01:00;Clermont-Ferrand;Zone A;2019-2020
Vacances d'Hiver;-;2020-02-22T00:00:00+01:00;2020-03-09T00:00:00+01:00;Dijon;Zone A;2019-2020
Vacances d'Hiver;-;2020-02-22T00:00:00+01:00;2020-03-09T00:00:00+01:00;Lyon;Zone A;2019-2020
Mi-carême;Guadeloupe & Saint-Martin;2020-03-19T00:00:00+01:00;2020-03-19T00:00:00+01:00;Guadeloupe;Guadeloupe;2019-2020
Vacances de Printemps;-;2020-04-04T00:00:00+02:00;2020-04-20T00:00:00+02:00;Toulouse;Zone C;2019-2020
Vacances de Printemps;-;2020-04-04T00:00:00+02:00;2020-04-20T00:00:00+02:00;Versailles;Zone C;2019-2020
Vacances de Printemps;-;2020-04-11T00:00:00+02:00;2020-04-27T00:00:00+02:00;Nice;Zone B;2019-2020
Vacances de Printemps;-;2020-04-11T00:00:00+02:00;2020-04-27T00:00:00+02:00;Orléans-Tours;Zone B;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Bordeaux;Zone A;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Dijon;Zone A;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Bordeaux;Zone A;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Grenoble;Zone A;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Lyon;Zone A;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Nantes;Zone B;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Reims;Zone B;2019-2020
Pont de l'Ascension;-;2020-05-22T00:00:00+02:00;2020-05-23T00:00:00+02:00;Martinique;Martinique;2019-2020
Vacances 2ème période;-;2020-06-06T00:00:00+02:00;2020-06-21T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2020
Début des Vacances d'Été;-;2020-07-03T00:00:00+02:00;2020-07-03T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Bordeaux;Zone A;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Amiens;Zone B;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Normandie;Zone B;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Nancy-Metz;Zone B;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Strasbourg;Zone B;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Créteil;Zone C;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Montpellier;Zone C;2019-2020
